word,count
grace,1
took,1
secondly,1
teachers,1
where,1
protect,1
jewish,1
teachings,1
upper,1
exercise,1
opened,1
governor,1
itself,1
counting,1
though,1
trials,1
stop,1
making,1
